mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.0020981431007385254,0.0005903793909584726,0.004707753658294678,0.0008576119506241449,minkowski,2,uniform,"{'metric': 'minkowski', 'n_neighbors': 2, 'weights': 'uniform'}",0.9404977375565612,0.9705882352941176,0.9406862745098039,0.9696342305037956,0.9553516194660696,0.014763617361730708,9
0.0013365745544433594,0.0002468786108087689,0.0024506449699401855,0.00013161379070860836,minkowski,2,distance,"{'metric': 'minkowski', 'n_neighbors': 2, 'weights': 'distance'}",0.9704761904761905,0.9705882352941176,1.0,0.9073684210526316,0.9621082117057349,0.033816291080059714,7
0.0012731552124023438,0.00014162374663228056,0.0036954879760742188,0.0004724345812932704,minkowski,3,uniform,"{'metric': 'minkowski', 'n_neighbors': 3, 'weights': 'uniform'}",0.9704761904761905,0.9411764705882353,0.970527341371331,0.9696342305037956,0.9629535582348882,0.012578007743381877,1
0.001107335090637207,9.159967652040047e-05,0.0022129416465759277,0.00020496319668063766,minkowski,3,distance,"{'metric': 'minkowski', 'n_neighbors': 3, 'weights': 'distance'}",0.9404977375565612,0.9411764705882353,0.970527341371331,0.9388888888888888,0.947772609601254,0.01316369177671275,11
0.001212000846862793,0.00019696322173182223,0.0036481618881225586,0.00038824254846454934,minkowski,4,uniform,"{'metric': 'minkowski', 'n_neighbors': 4, 'weights': 'uniform'}",0.9704761904761905,0.9411764705882353,0.970527341371331,0.9696342305037956,0.9629535582348882,0.012578007743381877,1
0.0013755559921264648,0.000287664464957032,0.0023720264434814453,0.00020058860837806686,minkowski,4,distance,"{'metric': 'minkowski', 'n_neighbors': 4, 'weights': 'distance'}",0.9704761904761905,0.9411764705882353,1.0,0.9388888888888888,0.9626353874883286,0.024909705788608398,5
0.0012059807777404785,0.00012114882686770239,0.0035859346389770508,0.0006994344673340355,euclidean,2,uniform,"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}",0.9404977375565612,0.9705882352941176,0.9406862745098039,0.9696342305037956,0.9553516194660696,0.014763617361730708,9
0.0015385746955871582,0.0006733497518381585,0.0024561285972595215,0.0004946728873434578,euclidean,2,distance,"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}",0.9704761904761905,0.9705882352941176,1.0,0.9073684210526316,0.9621082117057349,0.033816291080059714,7
0.001148521900177002,0.00015421613076613218,0.0035930275917053223,0.0004985190067224903,euclidean,3,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.9704761904761905,0.9411764705882353,0.970527341371331,0.9696342305037956,0.9629535582348882,0.012578007743381877,1
0.0013707876205444336,0.00047406105227300717,0.0022922754287719727,0.00043561281381643,euclidean,3,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.9404977375565612,0.9411764705882353,0.970527341371331,0.9388888888888888,0.947772609601254,0.01316369177671275,11
0.0011181235313415527,0.000189199554874499,0.0034018754959106445,0.00033293507026804596,euclidean,4,uniform,"{'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'uniform'}",0.9704761904761905,0.9411764705882353,0.970527341371331,0.9696342305037956,0.9629535582348882,0.012578007743381877,1
0.0016898512840270996,0.0007896021173716895,0.0024640560150146484,0.000510636967969348,euclidean,4,distance,"{'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'distance'}",0.9704761904761905,0.9411764705882353,1.0,0.9388888888888888,0.9626353874883286,0.024909705788608398,5
